Distination,Goose_pkt_appid,Goose_pkt_length,Goose_pkt_datSet,Goose_pkt_TimeAllowTolive,Goose_pkt_stNum,Goose_pkt_sqNum,Goose_pkt_Data_bit_string
0,0,0.333333333,0,0,0.012158055,0.4,1
0.125,0.010526316,0,0.133333333,0,0.009118541,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.009118541,1,1
0.5,0.042105263,0,0.533333333,1,0.006079027,1,0
0,0,0.333333333,0,1,0.012158055,0.6,1
0.125,0.010526316,0,0.133333333,1,0.009118541,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.009118541,0.8,1
0.75,0.063157895,0,0.8,1,0.006079027,0.8,0
0.25,0.021052632,0,0.266666667,0,0.009118541,0,0
0.25,0.021052632,0,0.266666667,0,0.009118541,0.2,0
0.25,0.021052632,0,0.266666667,0,0.009118541,0.4,0
0.25,0.021052632,0,0.266666667,1,0.009118541,0.6,0
0.5,0.042105263,0,0.533333333,0,0.009118541,0,0
0.375,0.031578947,0.333333333,0.4,0,0.012158055,0,1
0.375,0.031578947,0.333333333,0.4,0,0.012158055,0.2,1
0.5,0.042105263,0,0.533333333,0,0.009118541,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.012158055,0.4,1
0.5,0.042105263,0,0.533333333,0,0.009118541,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.012158055,0.6,1
0.5,0.042105263,0,0.533333333,1,0.009118541,0.6,0
0,0,0.333333333,0,1,0.012158055,0.8,1
0.125,0.010526316,0,0.133333333,1,0.009118541,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.009118541,1,1
0.75,0.063157895,0,0.8,1,0.006079027,1,0
0.25,0.021052632,0,0.266666667,1,0.009118541,0.8,0
0.125,0.010526316,0,0.133333333,0,0.012158055,0,0
0,0,0.333333333,0,0,0.015197568,0,1
0.75,0.063157895,0,0.8,0,0.009118541,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.012158055,0,1
0,0,0.333333333,0,0,0.015197568,0.2,1
0.125,0.010526316,0,0.133333333,0,0.012158055,0.2,0
0.625,0.052631579,0.333333333,0.666666667,0,0.012158055,0.2,1
0.75,0.063157895,0,0.8,0,0.009118541,0.2,0
0,0,0.333333333,0,0,0.015197568,0.4,1
0.125,0.010526316,0,0.133333333,0,0.012158055,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.012158055,0.8,1
0.5,0.042105263,0,0.533333333,1,0.009118541,0.8,0
0.625,0.052631579,0.333333333,0.666666667,0,0.012158055,0.4,1
0.75,0.063157895,0,0.8,0,0.009118541,0.4,0
0,0,0.333333333,0,1,0.015197568,0.6,1
0.125,0.010526316,0,0.133333333,1,0.012158055,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.012158055,0.6,1
0.75,0.063157895,0,0.8,1,0.009118541,0.6,0
0.25,0.021052632,0,0.266666667,0,0.012158055,0,0
0.25,0.021052632,0,0.266666667,0,0.012158055,0.2,0
0.25,0.021052632,0,0.266666667,0,0.012158055,0.4,0
0.25,0.021052632,0,0.266666667,1,0.012158055,0.6,0
0.5,0.042105263,0,0.533333333,0,0.012158055,0,0
0.375,0.031578947,0.333333333,0.4,0,0.015197568,0,1
0.375,0.031578947,0.333333333,0.4,0,0.015197568,0.2,1
0.5,0.042105263,0,0.533333333,0,0.012158055,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.015197568,0.4,1
0.5,0.042105263,0,0.533333333,0,0.012158055,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.015197568,0.6,1
0.5,0.042105263,0,0.533333333,1,0.012158055,0.6,0
0,0,0.333333333,0,1,0.015197568,0.8,1
0.125,0.010526316,0,0.133333333,1,0.012158055,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.012158055,0.8,1
0.75,0.063157895,0,0.8,1,0.009118541,0.8,0
0.25,0.021052632,0,0.266666667,1,0.012158055,0.8,0
0.75,0.063157895,0,0.8,0,0.012158055,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.015197568,0,1
0.625,0.052631579,0.333333333,0.666666667,0,0.015197568,0.2,1
0.75,0.063157895,0,0.8,0,0.012158055,0.2,0
0.375,0.031578947,0.333333333,0.4,1,0.015197568,0.8,1
0.5,0.042105263,0,0.533333333,1,0.012158055,0.8,0
0.625,0.052631579,0.333333333,0.666666667,0,0.015197568,0.4,1
0.75,0.063157895,0,0.8,0,0.012158055,0.4,0
0,0,0.333333333,0,1,0.015197568,1,1
0.125,0.010526316,0,0.133333333,1,0.012158055,1,0
0.625,0.052631579,0.333333333,0.666666667,1,0.015197568,0.6,1
0.75,0.063157895,0,0.8,1,0.012158055,0.6,0
0.25,0.021052632,0,0.266666667,1,0.012158055,1,0
0.125,0.010526316,0,0.133333333,0,0.015197568,0,0
0,0,0.333333333,0,0,0.018237082,0,1
0,0,0.333333333,0,0,0.018237082,0.2,1
0.125,0.010526316,0,0.133333333,0,0.015197568,0.2,0
0,0,0.333333333,0,0,0.018237082,0.4,1
0.125,0.010526316,0,0.133333333,0,0.015197568,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.015197568,1,1
0.5,0.042105263,0,0.533333333,1,0.012158055,1,0
0,0,0.333333333,0,1,0.018237082,0.6,1
0.125,0.010526316,0,0.133333333,1,0.015197568,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.015197568,0.8,1
0.75,0.063157895,0,0.8,1,0.012158055,0.8,0
0.25,0.021052632,0,0.266666667,0,0.015197568,0,0
0.25,0.021052632,0,0.266666667,0,0.015197568,0.2,0
0.25,0.021052632,0,0.266666667,0,0.015197568,0.4,0
0.25,0.021052632,0,0.266666667,1,0.015197568,0.6,0
0.5,0.042105263,0,0.533333333,0,0.015197568,0,0
0.375,0.031578947,0.333333333,0.4,0,0.018237082,0,1
0.375,0.031578947,0.333333333,0.4,0,0.018237082,0.2,1
0.5,0.042105263,0,0.533333333,0,0.015197568,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.018237082,0.4,1
0.5,0.042105263,0,0.533333333,0,0.015197568,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.018237082,0.6,1
0.5,0.042105263,0,0.533333333,1,0.015197568,0.6,0
0,0,0.333333333,0,1,0.018237082,0.8,1
0.125,0.010526316,0,0.133333333,1,0.015197568,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.015197568,1,1
0.75,0.063157895,0,0.8,1,0.012158055,1,0
0.25,0.021052632,0,0.266666667,1,0.015197568,0.8,0
0.125,0.010526316,0,0.133333333,0,0.018237082,0,0
0,0,0.333333333,0,0,0.021276596,0,1
0.75,0.063157895,0,0.8,0,0.015197568,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.018237082,0,1
0,0,0.333333333,0,0,0.021276596,0.2,1
0.125,0.010526316,0,0.133333333,0,0.018237082,0.2,0
0.625,0.052631579,0.333333333,0.666666667,0,0.018237082,0.2,1
0.75,0.063157895,0,0.8,0,0.015197568,0.2,0
0,0,0.333333333,0,0,0.021276596,0.4,1
0.125,0.010526316,0,0.133333333,0,0.018237082,0.4,0
0.625,0.052631579,0.333333333,0.666666667,0,0.018237082,0.4,1
0.75,0.063157895,0,0.8,0,0.015197568,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.018237082,0.8,1
0.5,0.042105263,0,0.533333333,1,0.015197568,0.8,0
0,0,0.333333333,0,1,0.021276596,0.6,1
0.125,0.010526316,0,0.133333333,1,0.018237082,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.018237082,0.6,1
0.75,0.063157895,0,0.8,1,0.015197568,0.6,0
0.25,0.021052632,0,0.266666667,0,0.018237082,0,0
0.25,0.021052632,0,0.266666667,0,0.018237082,0.2,0
0.25,0.021052632,0,0.266666667,0,0.018237082,0.4,0
0.25,0.021052632,0,0.266666667,1,0.018237082,0.6,0
0.5,0.042105263,0,0.533333333,0,0.018237082,0,0
0.375,0.031578947,0.333333333,0.4,0,0.021276596,0,1
0.375,0.031578947,0.333333333,0.4,0,0.021276596,0.2,1
0.5,0.042105263,0,0.533333333,0,0.018237082,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.021276596,0.4,1
0.5,0.042105263,0,0.533333333,0,0.018237082,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.021276596,0.6,1
0.5,0.042105263,0,0.533333333,1,0.018237082,0.6,0
0,0,0.333333333,0,1,0.021276596,0.8,1
0.125,0.010526316,0,0.133333333,1,0.018237082,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.018237082,0.8,1
0.75,0.063157895,0,0.8,1,0.015197568,0.8,0
0.25,0.021052632,0,0.266666667,1,0.018237082,0.8,0
0.75,0.063157895,0,0.8,0,0.018237082,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.021276596,0,1
0.625,0.052631579,0.333333333,0.666666667,0,0.021276596,0.2,1
0.75,0.063157895,0,0.8,0,0.018237082,0.2,0
0.625,0.052631579,0.333333333,0.666666667,0,0.021276596,0.4,1
0.75,0.063157895,0,0.8,0,0.018237082,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.021276596,0.8,1
0.5,0.042105263,0,0.533333333,1,0.018237082,0.8,0
0,0,0.333333333,0,1,0.021276596,1,1
0.125,0.010526316,0,0.133333333,1,0.018237082,1,0
0.625,0.052631579,0.333333333,0.666666667,1,0.021276596,0.6,1
0.75,0.063157895,0,0.8,1,0.018237082,0.6,0
0.25,0.021052632,0,0.266666667,1,0.018237082,1,0
0.125,0.010526316,0,0.133333333,0,0.021276596,0,0
0,0,0.333333333,0,0,0.024316109,0,1
0,0,0.333333333,0,0,0.024316109,0.2,1
0.125,0.010526316,0,0.133333333,0,0.021276596,0.2,0
0,0,0.333333333,0,0,0.024316109,0.4,1
0.125,0.010526316,0,0.133333333,0,0.021276596,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.021276596,1,1
0.5,0.042105263,0,0.533333333,1,0.018237082,1,0
0,0,0.333333333,0,1,0.024316109,0.6,1
0.125,0.010526316,0,0.133333333,1,0.021276596,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.021276596,0.8,1
0.75,0.063157895,0,0.8,1,0.018237082,0.8,0
0.25,0.021052632,0,0.266666667,0,0.021276596,0,0
0.25,0.021052632,0,0.266666667,0,0.021276596,0.2,0
0.25,0.021052632,0,0.266666667,0,0.021276596,0.4,0
0.25,0.021052632,0,0.266666667,1,0.021276596,0.6,0
0.5,0.042105263,0,0.533333333,0,0.021276596,0,0
0.375,0.031578947,0.333333333,0.4,0,0.024316109,0,1
0.375,0.031578947,0.333333333,0.4,0,0.024316109,0.2,1
0.5,0.042105263,0,0.533333333,0,0.021276596,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.024316109,0.4,1
0.5,0.042105263,0,0.533333333,0,0.021276596,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.024316109,0.6,1
0.5,0.042105263,0,0.533333333,1,0.021276596,0.6,0
0,0,0.333333333,0,1,0.024316109,0.8,1
0.125,0.010526316,0,0.133333333,1,0.021276596,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.021276596,1,1
0.75,0.063157895,0,0.8,1,0.018237082,1,0
0.25,0.021052632,0,0.266666667,1,0.021276596,0.8,0
0.125,0.010526316,0,0.133333333,0,0.024316109,0,0
0,0,0.333333333,0,0,0.027355623,0,1
0.75,0.063157895,0,0.8,0,0.021276596,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.024316109,0,1
0,0,0.333333333,0,0,0.027355623,0.2,1
0.125,0.010526316,0,0.133333333,0,0.024316109,0.2,0
0.625,0.052631579,0.333333333,0.666666667,0,0.024316109,0.2,1
0.75,0.063157895,0,0.8,0,0.021276596,0.2,0
0,0,0.333333333,0,0,0.027355623,0.4,1
0.125,0.010526316,0,0.133333333,0,0.024316109,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.024316109,0.8,1
0.5,0.042105263,0,0.533333333,1,0.021276596,0.8,0
0.625,0.052631579,0.333333333,0.666666667,0,0.024316109,0.4,1
0.75,0.063157895,0,0.8,0,0.021276596,0.4,0
0,0,0.333333333,0,1,0.027355623,0.6,1
0.125,0.010526316,0,0.133333333,1,0.024316109,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.024316109,0.6,1
0.75,0.063157895,0,0.8,1,0.021276596,0.6,0
0.25,0.021052632,0,0.266666667,0,0.024316109,0,0
0.25,0.021052632,0,0.266666667,0,0.024316109,0.2,0
0.25,0.021052632,0,0.266666667,0,0.024316109,0.4,0
0.25,0.021052632,0,0.266666667,1,0.024316109,0.6,0
0.5,0.042105263,0,0.533333333,0,0.024316109,0,0
0.375,0.031578947,0.333333333,0.4,0,0.027355623,0,1
0.375,0.031578947,0.333333333,0.4,0,0.027355623,0.2,1
0.5,0.042105263,0,0.533333333,0,0.024316109,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.027355623,0.4,1
0.5,0.042105263,0,0.533333333,0,0.024316109,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.027355623,0.6,1
0.5,0.042105263,0,0.533333333,1,0.024316109,0.6,0
0,0,0.333333333,0,1,0.027355623,0.8,1
0.125,0.010526316,0,0.133333333,1,0.024316109,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.024316109,0.8,1
0.75,0.063157895,0,0.8,1,0.021276596,0.8,0
0.25,0.021052632,0,0.266666667,1,0.024316109,0.8,0
0.75,0.063157895,0,0.8,0,0.024316109,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.027355623,0,1
0.625,0.052631579,0.333333333,0.666666667,0,0.027355623,0.2,1
0.75,0.063157895,0,0.8,0,0.024316109,0.2,0
0.375,0.031578947,0.333333333,0.4,1,0.027355623,0.8,1
0.5,0.042105263,0,0.533333333,1,0.024316109,0.8,0
0.625,0.052631579,0.333333333,0.666666667,0,0.027355623,0.4,1
0.75,0.063157895,0,0.8,0,0.024316109,0.4,0
0,0,0.333333333,0,1,0.027355623,1,1
0.125,0.010526316,0,0.133333333,1,0.024316109,1,0
0.625,0.052631579,0.333333333,0.666666667,1,0.027355623,0.6,1
0.75,0.063157895,0,0.8,1,0.024316109,0.6,0
0.25,0.021052632,0,0.266666667,1,0.024316109,1,0
0.125,0.010526316,0,0.133333333,0,0.027355623,0,0
0,0,0.333333333,0,0,0.030395137,0,1
0,0,0.333333333,0,0,0.030395137,0.2,1
0.125,0.010526316,0,0.133333333,0,0.027355623,0.2,0
0,0,0.333333333,0,0,0.030395137,0.4,1
0.125,0.010526316,0,0.133333333,0,0.027355623,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.027355623,1,1
0.5,0.042105263,0,0.533333333,1,0.024316109,1,0
0,0,0.333333333,0,1,0.030395137,0.6,1
0.125,0.010526316,0,0.133333333,1,0.027355623,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.027355623,0.8,1
0.75,0.063157895,0,0.8,1,0.024316109,0.8,0
0.25,0.021052632,0,0.266666667,0,0.027355623,0,0
0.25,0.021052632,0,0.266666667,0,0.027355623,0.2,0
0.25,0.021052632,0,0.266666667,0,0.027355623,0.4,0
0.25,0.021052632,0,0.266666667,1,0.027355623,0.6,0
0.5,0.042105263,0,0.533333333,0,0.027355623,0,0
0.375,0.031578947,0.333333333,0.4,0,0.030395137,0,1
0.375,0.031578947,0.333333333,0.4,0,0.030395137,0.2,1
0.5,0.042105263,0,0.533333333,0,0.027355623,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.030395137,0.4,1
0.5,0.042105263,0,0.533333333,0,0.027355623,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.030395137,0.6,1
0.5,0.042105263,0,0.533333333,1,0.027355623,0.6,0
0,0,0.333333333,0,1,0.030395137,0.8,1
0.125,0.010526316,0,0.133333333,1,0.027355623,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.027355623,1,1
0.75,0.063157895,0,0.8,1,0.024316109,1,0
0.25,0.021052632,0,0.266666667,1,0.027355623,0.8,0
0.125,0.010526316,0,0.133333333,0,0.030395137,0,0
0,0,0.333333333,0,0,0.03343465,0,1
0.75,0.063157895,0,0.8,0,0.027355623,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.030395137,0,1
0,0,0.333333333,0,0,0.03343465,0.2,1
0.125,0.010526316,0,0.133333333,0,0.030395137,0.2,0
0.625,0.052631579,0.333333333,0.666666667,0,0.030395137,0.2,1
0.75,0.063157895,0,0.8,0,0.027355623,0.2,0
0,0,0.333333333,0,0,0.03343465,0.4,1
0.125,0.010526316,0,0.133333333,0,0.030395137,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.030395137,0.8,1
0.5,0.042105263,0,0.533333333,1,0.027355623,0.8,0
0.625,0.052631579,0.333333333,0.666666667,0,0.030395137,0.4,1
0.75,0.063157895,0,0.8,0,0.027355623,0.4,0
0,0,0.333333333,0,1,0.03343465,0.6,1
0.125,0.010526316,0,0.133333333,1,0.030395137,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.030395137,0.6,1
0.75,0.063157895,0,0.8,1,0.027355623,0.6,0
0.25,0.021052632,0,0.266666667,0,0.030395137,0,0
0.25,0.021052632,0,0.266666667,0,0.030395137,0.2,0
0.25,0.021052632,0,0.266666667,0,0.030395137,0.4,0
0.25,0.021052632,0,0.266666667,1,0.030395137,0.6,0
0.5,0.042105263,0,0.533333333,0,0.030395137,0,0
0.375,0.031578947,0.333333333,0.4,0,0.03343465,0,1
0.375,0.031578947,0.333333333,0.4,0,0.03343465,0.2,1
0.5,0.042105263,0,0.533333333,0,0.030395137,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.03343465,0.4,1
0.5,0.042105263,0,0.533333333,0,0.030395137,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.03343465,0.6,1
0.5,0.042105263,0,0.533333333,1,0.030395137,0.6,0
0,0,0.333333333,0,1,0.03343465,0.8,1
0.125,0.010526316,0,0.133333333,1,0.030395137,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.030395137,0.8,1
0.75,0.063157895,0,0.8,1,0.027355623,0.8,0
0.25,0.021052632,0,0.266666667,1,0.030395137,0.8,0
0.75,0.063157895,0,0.8,0,0.030395137,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.03343465,0,1
0.625,0.052631579,0.333333333,0.666666667,0,0.03343465,0.2,1
0.75,0.063157895,0,0.8,0,0.030395137,0.2,0
0.625,0.052631579,0.333333333,0.666666667,0,0.03343465,0.4,1
0.75,0.063157895,0,0.8,0,0.030395137,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.03343465,0.8,1
0.5,0.042105263,0,0.533333333,1,0.030395137,0.8,0
0,0,0.333333333,0,1,0.03343465,1,1
0.125,0.010526316,0,0.133333333,1,0.030395137,1,0
0.625,0.052631579,0.333333333,0.666666667,1,0.03343465,0.6,1
0.75,0.063157895,0,0.8,1,0.030395137,0.6,0
0.25,0.021052632,0,0.266666667,1,0.030395137,1,0
0.125,0.010526316,0,0.133333333,0,0.03343465,0,0
0,0,0.333333333,0,0,0.036474164,0,1
0,0,0.333333333,0,0,0.036474164,0.2,1
0.125,0.010526316,0,0.133333333,0,0.03343465,0.2,0
0,0,0.333333333,0,0,0.036474164,0.4,1
0.125,0.010526316,0,0.133333333,0,0.03343465,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.03343465,1,1
0.5,0.042105263,0,0.533333333,1,0.030395137,1,0
0,0,0.333333333,0,1,0.036474164,0.6,1
0.125,0.010526316,0,0.133333333,1,0.03343465,0.6,0
0.625,0.052631579,0.333333333,0.666666667,1,0.03343465,0.8,1
0.75,0.063157895,0,0.8,1,0.030395137,0.8,0
0.25,0.021052632,0,0.266666667,0,0.03343465,0,0
0.25,0.021052632,0,0.266666667,0,0.03343465,0.2,0
0.25,0.021052632,0,0.266666667,0,0.03343465,0.4,0
0.25,0.021052632,0,0.266666667,1,0.03343465,0.6,0
0.5,0.042105263,0,0.533333333,0,0.03343465,0,0
0.375,0.031578947,0.333333333,0.4,0,0.036474164,0,1
0.375,0.031578947,0.333333333,0.4,0,0.036474164,0.2,1
0.5,0.042105263,0,0.533333333,0,0.03343465,0.2,0
0.375,0.031578947,0.333333333,0.4,0,0.036474164,0.4,1
0.5,0.042105263,0,0.533333333,0,0.03343465,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.036474164,0.6,1
0.5,0.042105263,0,0.533333333,1,0.03343465,0.6,0
0,0,0.333333333,0,1,0.036474164,0.8,1
0.125,0.010526316,0,0.133333333,1,0.03343465,0.8,0
0.625,0.052631579,0.333333333,0.666666667,1,0.03343465,1,1
0.75,0.063157895,0,0.8,1,0.030395137,1,0
0.25,0.021052632,0,0.266666667,1,0.03343465,0.8,0
0.125,0.010526316,0,0.133333333,0,0.036474164,0,0
0,0,0.333333333,0,0,0.039513678,0,1
0.75,0.063157895,0,0.8,0,0.03343465,0,0
0.625,0.052631579,0.333333333,0.666666667,0,0.036474164,0,1
0,0,0.333333333,0,0,0.039513678,0.2,1
0.125,0.010526316,0,0.133333333,0,0.036474164,0.2,0
0.625,0.052631579,0.333333333,0.666666667,0,0.036474164,0.2,1
0.75,0.063157895,0,0.8,0,0.03343465,0.2,0
0,0,0.333333333,0,0,0.039513678,0.4,1
0.125,0.010526316,0,0.133333333,0,0.036474164,0.4,0
0.375,0.031578947,0.333333333,0.4,1,0.036474164,0.8,1
