Distination,Goose_pkt_identifi,Goose_pkt_length,Goose_pkt_datSet,Goose_pkt_time,Goose_pkt_TimeAllowTolive,Goose_pkt_stNum,Goose_pkt_sqNum,Goose_pkt_Data_bit_string,Goose_pkt_data_cnt,Goose_pkt_test
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 31.88499999)",15000,1,1,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 34.54699999)",15000,1,1,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 29.926999986)",15000,1,2,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 39.926999986)",1500,2,0,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 39.926999986)",1500,3,0,4,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 40.047999978)",1500,2,0,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 40.047999978)",15000,1,0,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 39.926999986)",1500,3,1,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 39.926999986)",1500,2,1,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 40.047999978)",1500,2,1,4,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 39.926999986)",1500,3,2,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 39.926999986)",1500,2,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 34.54699999)",15000,2,4,4,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 40.047999978)",1500,2,2,4,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 39.926999986)",15000,3,3,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 39.926999986)",15000,2,3,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 40.047999978)",15000,2,3,4,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 31.88499999)",15000,1,2,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 41.88499999)",1500,2,0,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 41.88499999)",1500,2,1,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 41.88499999)",1500,2,2,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 41.88499999)",15000,2,3,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 34.54699999)",15000,1,2,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 44.54699999)",1500,2,0,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 44.54699999)",1500,3,0,4,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 44.54699999)",1500,3,1,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 44.54699999)",1500,2,1,3,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 40.047999978)",15000,1,1,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 44.54699999)",1500,3,2,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 44.54699999)",1500,2,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 44.54699999)",15000,3,3,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 44.54699999)",15000,2,3,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 39.926999986)",15000,3,4,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 39.926999986)",15000,2,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 40.047999978)",15000,2,4,4,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 41.88499999)",15000,2,4,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 49.926999986)",1500,3,0,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 49.926999986)",1500,4,0,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 50.047999978)",1500,2,0,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 50.047999978)",1500,3,0,4,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 49.926999986)",1500,4,1,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 49.926999986)",1500,3,1,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 50.047999978)",1500,3,1,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 50.047999978)",1500,2,1,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 49.926999986)",1500,4,2,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 49.926999986)",1500,3,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 44.54699999)",15000,3,4,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 44.54699999)",15000,2,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 50.047999978)",1500,3,2,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 50.047999978)",1500,2,2,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 49.926999986)",15000,4,3,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 49.926999986)",15000,3,3,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 50.047999978)",15000,3,3,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 50.047999978)",15000,2,3,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 51.88499999)",1500,3,0,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 51.88499999)",1500,3,1,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 51.88499999)",1500,3,2,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 51.88499999)",15000,3,3,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 54.54699999)",1500,3,0,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 54.54699999)",1500,4,0,4,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 54.54699999)",1500,4,1,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 54.54699999)",1500,3,1,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 54.54699999)",1500,4,2,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 54.54699999)",1500,3,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 54.54699999)",15000,4,3,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 54.54699999)",15000,3,3,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 49.926999986)",15000,4,4,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 49.926999986)",15000,3,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 50.047999978)",15000,3,4,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 50.047999978)",15000,2,4,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 51.88499999)",15000,3,4,3,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 0.047999978)",1500,3,0,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 0.047999978)",1500,4,0,4,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 0.047999978)",1500,4,1,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 0.047999978)",1500,3,1,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 54.54699999)",15000,4,4,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 54.54699999)",15000,3,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 0.047999978)",1500,4,2,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 0.047999978)",1500,3,2,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 49.926999986)",15000,4,5,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 49.926999986)",15000,3,5,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 0.047999978)",15000,4,3,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 0.047999978)",15000,3,3,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 51.88499999)",15000,3,5,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 4.926999986)",1500,4,0,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 4.926999986)",1500,5,0,4,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 4.926999986)",1500,5,1,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 4.926999986)",1500,4,1,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 4.926999986)",1500,5,2,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 4.926999986)",1500,4,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 54, 54.54699999)",15000,4,5,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 54, 54.54699999)",15000,3,5,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 4.926999986)",15000,5,3,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 4.926999986)",15000,4,3,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 0.047999978)",15000,4,4,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 0.047999978)",15000,3,4,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 6.885999977)",1500,4,0,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 6.885999977)",1500,4,1,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 6.885999977)",1500,4,2,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 6.885999977)",15000,4,3,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 9.547999978)",1500,4,0,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 9.547999978)",1500,5,0,4,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 9.547999978)",1500,5,1,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 9.547999978)",1500,4,1,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 9.547999978)",1500,5,2,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 9.547999978)",1500,4,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 9.547999978)",15000,5,3,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 9.547999978)",15000,4,3,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 4.926999986)",15000,5,4,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 4.926999986)",15000,4,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 0.047999978)",15000,4,5,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 0.047999978)",15000,3,5,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 6.885999977)",15000,4,4,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 14.927999973)",1500,5,0,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 14.927999973)",1500,6,0,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 15.048999965)",1500,4,0,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 15.048999965)",1500,5,0,4,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 14.927999973)",1500,6,1,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 14.927999973)",1500,5,1,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 15.048999965)",1500,5,1,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 15.048999965)",1500,4,1,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 14.927999973)",1500,6,2,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 14.927999973)",1500,5,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 9.547999978)",15000,5,4,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 9.547999978)",15000,4,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 15.048999965)",1500,5,2,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 15.048999965)",1500,4,2,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 14.927999973)",15000,6,3,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 14.927999973)",15000,5,3,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 15.048999965)",15000,5,3,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 15.048999965)",15000,4,3,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 16.885999977)",1500,5,0,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 16.885999977)",1500,5,1,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 16.885999977)",1500,5,2,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 16.885999977)",15000,5,3,3,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 19.547999978)",1500,5,0,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 19.547999978)",1500,6,0,4,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 19.547999978)",1500,6,1,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 19.547999978)",1500,5,1,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 19.547999978)",1500,6,2,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 19.547999978)",1500,5,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 19.547999978)",15000,6,3,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 19.547999978)",15000,5,3,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 14.927999973)",15000,6,4,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 14.927999973)",15000,5,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 15.048999965)",15000,5,4,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 15.048999965)",15000,4,4,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 16.885999977)",15000,5,4,3,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 25.048999965)",1500,5,0,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 25.048999965)",1500,6,0,4,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 25.048999965)",1500,6,1,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 25.048999965)",1500,5,1,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 19.547999978)",15000,6,4,4,1,0
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 19.547999978)",15000,5,4,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 25.048999965)",1500,6,2,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 25.048999965)",1500,5,2,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 14.927999973)",15000,6,5,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 14.927999973)",15000,5,5,3,1,0
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 25.048999965)",15000,6,3,4,1,0
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 25.048999965)",15000,5,3,3,1,0
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 16.885999977)",15000,5,5,3,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 29.92899996)",1500,6,0,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 29.92899996)",1500,7,0,4,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 29.92899996)",1500,7,1,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 29.92899996)",1500,6,1,3,1,0
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 29.92899996)",1500,7,2,4,1,0
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,"(2021, 3, 19, 1, 55, 29.92899996)",1500,6,2,3,1,0
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,"(2021, 3, 19, 1, 55, 19.547999978)",15000,6,5,4,1,0
