"No.","Time","Source","Destination","Protocol","Length","APPID","Length","Reserved 1","Reserved 2","gocbRef","timeAllowedtoLive","stNum","sqNum","simulation","confRev","numDatSetEntries","Info"
"1","0.000000000","PcsCompu_20:db:2d","Iec-Tc57_01:00:01","GOOSE","205","0x03e8 (1000)","187","0x0000 (0)","0x0000 (0)","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","0","1","0","False","1","4",""
"2","1.000485435","PcsCompu_20:db:2d","Iec-Tc57_01:00:01","GOOSE","205","0x03e8 (1000)","187","0x0000 (0)","0x0000 (0)","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","0","1","1","False","1","4",""
"3","2.000868372","PcsCompu_20:db:2d","Iec-Tc57_01:00:01","GOOSE","205","0x03e8 (1000)","187","0x0000 (0)","0x0000 (0)","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","0","1","2","False","1","4",""
