Distination,appid,len,path,t,state,seq,data_cnt
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,20.0,4,3,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,20.0,3,3,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,20.121000051498413,3,3,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,20.121000051498413,2,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,0,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,1,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,1,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,2,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,3,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,20.0,4,4,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,20.0,3,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,20.121000051498413,3,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,20.121000051498413,2,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,30.121000051498413,3,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,30.121000051498413,4,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,30.121000051498413,4,1,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,30.121000051498413,3,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,4,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,30.121000051498413,4,2,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,30.121000051498413,3,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,20.0,4,5,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,20.0,3,5,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,30.121000051498413,4,3,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,30.121000051498413,3,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,21.95800006389618,3,5,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,35.0,4,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,35.0,5,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,35.0,5,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,35.0,4,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,35.0,5,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,35.0,4,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,24.62000000476837,4,5,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,24.62000000476837,3,5,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,35.0,5,3,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,35.0,4,3,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,30.121000051498413,4,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,30.121000051498413,3,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,36.95899999141693,4,0,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,36.95899999141693,4,1,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,36.95899999141693,4,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,36.95899999141693,4,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,39.62100005149841,4,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,39.62100005149841,5,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,39.62100005149841,5,1,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,39.62100005149841,4,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,39.62100005149841,5,2,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,39.62100005149841,4,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,39.62100005149841,5,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,39.62100005149841,4,3,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,35.0,5,4,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,35.0,4,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,30.121000051498413,4,5,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,30.121000051498413,3,5,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,36.95899999141693,4,4,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,45.00100004673004,5,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,45.00100004673004,6,0,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,45.121999979019165,4,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,45.121999979019165,5,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,45.00100004673004,6,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,45.00100004673004,5,1,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,45.121999979019165,5,1,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,45.121999979019165,4,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,45.00100004673004,6,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,45.00100004673004,5,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,39.62100005149841,5,4,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,39.62100005149841,4,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,45.121999979019165,5,2,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,45.121999979019165,4,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,45.00100004673004,6,3,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,45.00100004673004,5,3,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,45.121999979019165,5,3,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,45.121999979019165,4,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,46.95899999141693,5,0,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,46.95899999141693,5,1,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,46.95899999141693,5,2,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,46.95899999141693,5,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,49.62100005149841,5,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,49.62100005149841,6,0,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,49.62100005149841,6,1,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,49.62100005149841,5,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,49.62100005149841,6,2,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,49.62100005149841,5,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,49.62100005149841,6,3,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,49.62100005149841,5,3,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,45.00100004673004,6,4,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,45.00100004673004,5,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,45.121999979019165,5,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,45.121999979019165,4,4,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,46.95899999141693,5,4,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,55.121999979019165,5,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,55.121999979019165,6,0,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,55.121999979019165,6,1,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,55.121999979019165,5,1,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,49.62100005149841,6,4,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,49.62100005149841,5,4,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,55.121999979019165,6,2,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,55.121999979019165,5,2,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,45.00100004673004,6,5,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,45.00100004673004,5,5,1
01:0c:cd:01:00:06,6,104,E1Q3CTRL/LLN0$STAT,55.121999979019165,6,3,1
01:0c:cd:01:00:07,7,103,E1Q3CTRL/LLN0$TRIP,55.121999979019165,5,3,1
01:0c:cd:01:00:03,3,103,E1Q1CTRL/LLN0$TRIP,46.95899999141693,5,5,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,60.00199997425079,6,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,60.00199997425079,7,0,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,60.00199997425079,7,1,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,60.00199997425079,6,1,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,60.00199997425079,7,2,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,60.00199997425079,6,2,1
01:0c:cd:01:00:04,4,104,E1Q2CTRL/LLN0$STAT,49.62100005149841,6,5,1
01:0c:cd:01:00:05,5,103,E1Q2CTRL/LLN0$TRIP,49.62100005149841,5,5,1
01:0c:cd:01:00:01,1,104,D1Q1CTRL/LLN0$STAT,60.00199997425079,7,3,1
01:0c:cd:01:00:02,2,103,D1Q1CTRL/LLN0$TRIP,60.00199997425079,6,3,1
